Server_cost,lamda,Utilization,used_server,CaseID,H_cost,FailureRates,min_server,T_cost,holding_costs,holding_cost_min,skillCost,Num_back_orders,param_name,BO_cost,var_level,S,machineCost,ServiceRates,penalty_cost,param_value,VNS_best_priority,num_SKU,VNS_run_time,VNS_best_cost,utilization_rate
60000,0.5,0.6666666666666666,6,Case: 0079,20411.39443664373,"[0.023580811285060673, 0.16901003215075977, 0.028911920917746258, 0.04447671108354425, 0.025685128995303366, 0.00939943082079335, 0.037196066349884614, 0.060785946646444364, 0.0024732849268711272, 0.01259145117964811, 0.07473176075568616, 0.004066713847931931, 0.0003965413982827639, 0.09143456435762148, 0.05661301037761839, 0.06760200009229202, 0.0158162454483491, 0.046698655273103566, 0.05385960664174789, 0.17467011745131086]",5,96741.04625685289,"[655.1522632037925, 1376.4813539182824, 448.1878961381908, 1557.1630287261967, 1016.8213734737843, 1130.4793371476394, 688.1330507378675, 392.6620964725776, 1116.9901378763075, 927.5710435893463, 1635.2086232386016, 1402.3364402611353, 823.2668275697553, 544.1194857469048, 1931.5944139309665, 1183.7618282468236, 496.1316820148402, 520.8651630883493, 747.5866414109584, 514.7959501448529]",100,100,0.6799286467645582,holding_cost,16329.651820209148,0.05,"[1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 2.0, 2.875, 1.0, 1.0, 1.0, 0.825, 1.0, 2.0, 0.0, 1.0, 2.0, 1.0, 1.0, 2.1]",10000,"[0.1158449895701944, 2.4374299919561433, 0.061243179513483306, 0.7978686489112464, 0.22947300533858536, 0.08848735613270906, 0.14922490138296401, 0.09404525641856612, 0.022613522161618133, 0.08957530992457605, 1.5973110907244776, 0.05635675111049962, 0.002688560428286496, 0.33838239349763727, 1.7413725180551438, 0.7405411988484382, 0.053512219764522535, 0.16564238239033344, 0.33931557718949934, 0.3979649567473388]",24016.713956550924,2,"[13, 11, 14, 13, 9, 11, 18, 11, 13, 2, 14, 20, 4, 14, 2, 6, 18, 3, 4, 12]",20,51776.394257068634,96741.04625685289,0.8
110000,0.5,0.7272727272727273,11,Case: 0080,18046.241113709715,"[0.2807800677228305, 0.11893297042304549, 0.03896382631321526, 0.07614496611125812, 0.02835153263651705, 0.12355136810427492, 0.06339122641645144, 0.026413029508937775, 0.15983254203223668, 0.08363847073123287]",9,141889.63360832215,"[497.989758588032, 1137.6645156697764, 532.4642004768846, 422.5908520636919, 1478.8876685905373, 2000.0, 408.7864304592883, 405.3911466917343, 501.6312663543857, 1391.744314259676]",100,100,0.6512320825021196,holding_cost,13843.392494612443,0.05,"[3.0, 2.0, 3.0, 4.0, 1.0, 1.0, 4.0, 4.0, 3.0, 1.975]",10000,"[0.29725048654496616, 0.27042584120345714, 0.05089830207971754, 0.06268376273631145, 0.08099291037251188, 0.4084162091038349, 0.05294603972815653, 0.017392960533353118, 0.17644109524896112, 0.23167080042937344]",21257.233583186353,2,"[4, 9, 10, 10, 2, 2, 10, 10, 9, 10]",10,32114.05654501915,141889.63360832215,0.8
70000,0.5,0.5714285714285715,7,Case: 0117,13644.773168872987,"[0.003758602764222506, 0.04326828230144753, 0.06084416292975198, 0.015218200656745194, 0.04218953606773292, 0.14150018113714816, 0.01622125450381559, 0.030410211372981607, 0.0550380808240367, 0.05085027589983138, 0.03782718169492884, 0.0010835036149917572, 0.029986776580073288, 0.03289437036808763, 0.012451571437266898, 0.05563156249801304, 0.004719382646102468, 0.030877228162693095, 0.19404957739906226, 0.14118005714106693]",5,99292.96012464903,"[126.22217210512107, 253.94815627475242, 780.2946174084815, 390.49131685939574, 882.694821876251, 1207.6492741964335, 170.6250771009921, 1148.668859589465, 673.4811617942714, 676.3928862320982, 315.92065702467977, 1421.6874688389375, 477.58960955289, 1916.2399246516911, 1998.6349847579036, 845.2079181562306, 1156.9957008433553, 483.3121166201214, 924.1828534571254, 1453.4643595383777]",1,100,0.6589831221159973,holding_cost,15648.186955776047,0.05,"[3.1, 2.55, 1.0, 2.0, 1.0, 1.0, 3.0, 0.975, 1.0, 1.0, 2.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]",10000,"[0.005069272357569172, 0.1155086708605005, 0.46741773007289455, 0.034376764146443486, 0.3842875285669363, 2.5735750981943655, 0.026091993637259007, 0.5465136011928916, 0.3498177541701707, 0.3010329195486669, 0.11537344556504166, 0.02604298472236621, 0.14571273164635207, 2.8930216041115866, 2.1661465201114076, 0.406247835345541, 0.06609033597246906, 0.14294316680748764, 2.278230210891889, 3.458157830966903]",23745.960147704027,2,"[16, 18, 6, 7, 5, 7, 2, 16, 11, 11, 16, 15, 3, 6, 17, 3, 20, 6, 4, 15]",20,25367.063038110733,99292.96012464903,0.8
100000,0.5,0.8,10,Case: 0118,21693.421379832907,"[0.1233768982263539, 0.010503074667557684, 0.042861476002520174, 0.04888036345863343, 0.14572265971048348, 0.07617069921730772, 0.3945985198395927, 0.06698705342004048, 0.0435829932011159, 0.04731626225639467]",9,134834.3962793535,"[1456.509611108914, 343.0123526883319, 194.38479765407743, 1027.68745367043, 2000.0, 184.70073899304916, 1278.4135299286286, 1610.0920894855853, 1656.0671985308393, 751.6425036289443]",1,100,0.4147254540109263,holding_cost,13140.974899520592,0.05,"[2.0, 4.175, 9.45, 2.0, 1.0, 11.775, 3.0, 1.0, 1.0, 2.9]",10000,"[0.4391390009824686, 0.008528369692674292, 0.016459975494832805, 0.1193579843535387, 0.8199510339838263, 0.04039685283742203, 1.1850398049825237, 0.2905675808326429, 0.1965118697598053, 0.07565672515632145]",31685.961815052666,2,"[7, 10, 10, 8, 5, 10, 6, 6, 7, 9]",10,70179.10390996933,134834.3962793535,0.8
80000,0.5,0.5,8,Case: 0119,8955.93310540129,"[0.149415973296026, 0.17577328289195648, 0.0011273601747495811, 0.012478005145356926, 0.1485737237626093, 0.0762683085190335, 0.1299589324997424, 0.1316208231818654, 0.12888232599876892, 0.04590126452989132]",5,96607.18237392112,"[1845.5030027841512, 424.91617304076567, 675.8352319618106, 1988.2064512097368, 706.0994514834739, 430.11131497770987, 601.6256063705661, 913.1189975216497, 942.5422948094061, 787.7152197706946]",100,100,0.3518927052560205,holding_cost,7651.249268519829,0.05,"[0.0, 3.0, 1.675, 0.0, 2.0, 3.0, 2.0, 1.0, 1.0, 1.0]",10000,"[3.4032518463352317, 0.23323032866082338, 0.0025655872920077307, 0.3683635103210176, 0.4076042865259501, 0.06490210868165748, 0.2758620144677159, 0.5542712608939014, 0.690034434264864, 0.15603033612929937]",21743.13122789272,2,"[2, 9, 8, 3, 10, 7, 3, 7, 9, 10]",10,35102.81456398964,96607.18237392112,0.8
90000,0.5,0.8888888888888888,9,Case: 0120,30635.987369806273,"[0.012193855952912188, 0.23437396756095882, 0.033049468125422574, 0.01156644433978718, 0.06945512631201596, 0.08116175065036069, 0.1239521219510515, 0.09036201874254043, 0.0495001846872775, 0.029529228690548748, 0.03654435183772661, 0.03415740103960453, 0.010925742186963721, 0.01498208959353702, 0.01865369316435629, 0.014483984762229427, 0.01061701745972579, 0.07549639001835515, 0.013244213255024829, 0.03575094966960115]",8,136669.3485666208,"[1566.3798449373078, 503.4369710779798, 692.4098759920366, 1496.5065685804038, 458.05003692609773, 835.7460032177269, 792.2689884882939, 277.8589771884308, 2000.0, 637.2319842633609, 1988.1934078033219, 1295.028354750636, 941.9321320043706, 916.8440881935094, 740.8241300865852, 612.5252315793864, 564.5692750271501, 1298.5029920827753, 1000.935551733316, 1606.312595747834]",100,100,0.7488903875960274,holding_cost,16033.361196814536,0.05,"[1.0, 4.575, 2.0, 1.0, 3.55, 2.0, 2.0, 19.2, 0.0, 3.0, 0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 3.525, 1.0, 1.0, 1.0]",10000,"[0.2432066566287901, 0.21090144386749785, 0.08297472108880925, 0.17112886879732656, 0.08210966205369266, 0.3000193823476262, 0.38276233172923535, 0.05669705931504328, 9.271015012553065, 0.04868516995841846, 3.356548346392551, 0.3144404663855545, 0.045008652546838265, 0.0526571240172852, 0.05410974443859957, 0.03253878010283101, 0.01212859038949202, 0.5927151907118972, 0.05810447880797589, 0.6013625109309874]",21409.489909841628,2,"[17, 11, 15, 18, 15, 11, 9, 20, 4, 19, 4, 3, 4, 10, 19, 17, 20, 10, 10, 12]",20,137921.6260998249,136669.3485666208,0.8
600000,0.5,0.6666666666666666,6,Case: 0022,15026.349466854886,"[0.20098987924896647, 0.06522156778502702, 0.024439695916407985, 0.011585874349435046, 0.07193722439466484, 0.03553639353810447, 0.0010729390774776569, 0.03927583189368288, 0.04141552199488014, 0.0005455344691903801, 0.01832917069524063, 0.01528089805285754, 0.04899328875297068, 0.008197263802794093, 0.0322797722545274, 0.21000930478167676, 0.00032688644228809165, 0.00951127911857245, 0.11558455555035185, 0.04946711788088328]",4,632831.7875930504,"[87.1771720817213, 445.9241575310782, 595.4384396654742, 365.9217680770326, 398.1738032871592, 1019.5692825942309, 658.1813524994498, 1118.4449670226595, 472.70122705385154, 1255.1913161803236, 862.6528808943334, 1400.347604502323, 923.1022091374837, 903.3979839179146, 1007.4223440074838, 380.02398110368824, 253.3698235313006, 1478.503309041166, 492.6036273102926, 729.6783290959863]",1,100,1.0587637153784608,holding_cost,17805.438126195553,0.05,"[39.425, 1.0, 1.0, 1.0, 1.7, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 2.2, 1.9, 0.0, 1.0, 1.0]",100000,"[0.22583944799959493, 0.2943428808506016, 0.14787429356054224, 0.045322365856200156, 0.24066527890086528, 0.46481172516590413, 0.006804296760538573, 0.5843727796564988, 0.17089710837276598, 0.011976750124481007, 0.17473531297395478, 0.35160552328517336, 0.5561687084492176, 0.09578658896843173, 0.3948046932676345, 0.7028437141786761, 0.0007485877350063664, 0.29227112800022365, 0.4530609432485239, 0.32443343851453516]",16817.197139997286,1.5,"[20, 2, 7, 6, 10, 19, 9, 18, 12, 17, 6, 3, 11, 15, 9, 16, 14, 15, 1, 8]",20,29765.094263076782,632831.7875930504,0.8
900000,0.5,0.8888888888888888,9,Case: 0023,12407.770229287715,"[0.16824052302283832, 0.01713945737055406, 0.039332592411880564, 0.07267296225824957, 0.39695882785768993, 0.03319239126574961, 0.12347068401258703, 0.01120363898502441, 0.05747369786608465, 0.08031522494934205]",8,920340.4213128163,"[231.6171643409439, 624.0530453405044, 360.5699884066638, 470.243006396571, 204.12033490142838, 1031.448993495021, 323.60021266647095, 1438.4450434193636, 783.0657523811401, 268.66646668142704]",1,100,0.7084037548139839,holding_cost,7932.651083528603,0.05,"[8.025, 2.0, 2.0, 2.0, 8.15, 1.0, 3.0, 0.0, 1.0, 11.875]",100000,"[0.1050838184788151, 0.04321328204158615, 0.05350108762981322, 0.1366538682461818, 0.16316234363196402, 0.2396418894230887, 0.13066699772430607, 6.672416221203157, 0.21149633564247877, 0.08493420896806653]",11197.92354236123,1.5,"[7, 8, 3, 2, 5, 5, 4, 2, 3, 10]",10,19159.880564928055,920340.4213128163,0.8
500000,0.5,0.8,5,Case: 0029,18756.077403106665,"[0.013429431839810126, 0.22669811246345392, 0.03623199975715838, 0.1260566479289808, 0.08859875136533081, 0.004380628077720801, 0.1750025530293857, 0.16661900694184614, 0.0025706795038294133, 0.16041218909248378]",5,534816.857461625,"[518.5642250125218, 829.3993108946966, 298.30953591089843, 595.634602405456, 1462.514341177074, 922.824179652599, 634.2375123605407, 378.7364191125575, 448.65634996406146, 651.0424388295401]",100,100,0.6940848167222545,holding_cost,16060.780058518392,0.05,"[3.6, 2.0, 11.375, 2.95, 1.0, 1.0, 3.0, 8.775, 2.6, 2.0]",100000,"[0.04416745375958277, 1.6944103603337282, 0.029469824917840184, 0.377541780807207, 10.087253614780334, 0.03490708395067173, 0.7071847772804715, 0.22328675481360785, 0.004310310717788474, 0.5844902435323533]",23139.50639975645,1.5,"[10, 4, 10, 8, 7, 8, 8, 9, 10, 4]",10,12631.16459107399,534816.857461625,0.8
800000,0.5,0.9999999999999999,8,Case: 0032,80719.98158659432,"[0.14334617365713131, 0.1087591068796308, 0.07861822262943229, 0.06517083261027623, 0.05813460239023682, 0.10547911729477445, 0.01745223954956586, 0.027215177817078662, 0.05312877560843505, 0.006015926380889954, 0.001580795220005256, 0.008568199850681323, 0.009235015691582898, 0.050917739085476796, 0.02790578721217324, 0.03589337357655934, 0.04561795253492848, 0.09007838829162641, 0.01103796404204326, 0.05584460967747153]",8,909924.886484349,"[1231.028718423952, 1493.2045078469412, 546.4665072589727, 365.49762061966845, 887.1631444837838, 781.6848855491406, 1073.5450573717642, 560.3960601732329, 1086.0761338410816, 1017.3360347104383, 1200.6254936636344, 587.8459895037402, 455.1116580664637, 876.6142489017304, 562.4006104195627, 1498.1023989685382, 517.4277608810158, 470.91464098754716, 715.1498458407566, 251.7708544393281]",100,100,1.0299174518117848,holding_cost,29204.904897754663,0.05,"[3.0, 1.0, 2.9, 10.875, 1.0, 3.0, 1.0, 2.0, 1.0, 1.0, 0.825, 2.0, 2.975, 3.0, 2.0, 1.0, 3.825, 12.55, 1.0, 179.0]",100000,"[3.014162880283163, 28.941189075803912, 0.14352842402821228, 0.059142990878765206, 0.3744948560740752, 0.4287118375475976, 0.16838809041716382, 0.059739248451646326, 0.6603458624720354, 0.04610556429057008, 0.028060335813981204, 0.02086466209308427, 0.013479673183031357, 0.24418843674342794, 0.06771842392078066, 2.4903076424616373, 0.07199765493412728, 0.1683753248717308, 0.04361990472190965, 0.029103331090202935]",28356.549203413048,1.5,"[8, 2, 3, 19, 3, 10, 14, 6, 4, 6, 17, 4, 15, 15, 3, 8, 15, 19, 8, 20]",20,40852.04797887802,909924.886484349,0.8
