Server_cost,lamda,Utilization,used_server,CaseID,H_cost,FailureRates,min_server,T_cost,holding_costs,holding_cost_min,skillCost,Num_back_orders,param_name,BO_cost,var_level,S,machineCost,ServiceRates,penalty_cost,param_value,VNS_best_priority,num_SKU,VNS_run_time,VNS_best_cost,utilization_rate
50000,0.5,0.8,5,Case: 0079,15645.5207803661,"[0.023580811285060673, 0.16901003215075977, 0.028911920917746258, 0.04447671108354425, 0.025685128995303366, 0.00939943082079335, 0.037196066349884614, 0.060785946646444364, 0.0024732849268711272, 0.01259145117964811, 0.07473176075568616, 0.004066713847931931, 0.0003965413982827639, 0.09143456435762148, 0.05661301037761839, 0.06760200009229202, 0.0158162454483491, 0.046698655273103566, 0.05385960664174789, 0.17467011745131086]",5,76034.65467266638,"[327.57613160189624, 688.2406769591412, 224.0939480690954, 778.5815143630983, 508.41068673689216, 565.2396685738197, 344.06652536893375, 196.3310482362888, 558.4950689381537, 463.7855217946732, 817.6043116193008, 701.1682201305676, 411.63341378487763, 272.0597428734524, 965.7972069654833, 591.8809141234118, 248.0658410074201, 260.43258154417464, 373.7933207054792, 257.39797507242645]",100,100,0.30898523155568886,penalty_cost,10389.133892300282,0.05,"[2.0, 1.0, 5.375, 1.0, 1.0, 1.0, 2.0, 10.525, 1.0, 1.0, 1.0, 1.0, 1.125, 3.0, 1.0, 1.0, 3.325, 2.95, 2.0, 3.0]",10000,"[0.1158449895701944, 2.4374299919561433, 0.061243179513483306, 0.7978686489112464, 0.22947300533858536, 0.08848735613270906, 0.14922490138296401, 0.09404525641856612, 0.022613522161618133, 0.08957530992457605, 1.5973110907244776, 0.05635675111049962, 0.002688560428286496, 0.33838239349763727, 1.7413725180551438, 0.7405411988484382, 0.053512219764522535, 0.16564238239033344, 0.33931557718949934, 0.3979649567473388]",33623.39953917129,1.4,"[7, 2, 16, 3, 7, 13, 10, 16, 16, 9, 3, 16, 19, 7, 4, 2, 16, 10, 8, 3]",20,95065.32970094681,76034.65467266638,0.8
90000,0.5,0.8888888888888888,9,Case: 0080,15462.09614524012,"[0.2807800677228305, 0.11893297042304549, 0.03896382631321526, 0.07614496611125812, 0.02835153263651705, 0.12355136810427492, 0.06339122641645144, 0.026413029508937775, 0.15983254203223668, 0.08363847073123287]",9,111373.94229393621,"[248.994879294016, 568.8322578348882, 266.2321002384423, 211.29542603184595, 739.4438342952686, 1000.0, 204.39321522964414, 202.69557334586716, 250.81563317719284, 695.872157129838]",100,100,0.19864989640084957,penalty_cost,5911.8461486960805,0.05,"[5.85, 2.0, 4.7, 7.575, 2.0, 2.0, 7.025, 11.0, 5.9, 2.0]",10000,"[0.29725048654496616, 0.27042584120345714, 0.05089830207971754, 0.06268376273631145, 0.08099291037251188, 0.4084162091038349, 0.05294603972815653, 0.017392960533353118, 0.17644109524896112, 0.23167080042937344]",29760.12701646089,1.4,"[4, 3, 6, 6, 5, 2, 6, 10, 5, 3]",10,28100.916704177856,111373.94229393621,0.8
50000,0.5,0.8000000000000002,5,Case: 0117,14685.662706030917,"[0.003758602764222506, 0.04326828230144753, 0.06084416292975198, 0.015218200656745194, 0.04218953606773292, 0.14150018113714816, 0.01622125450381559, 0.030410211372981607, 0.0550380808240367, 0.05085027589983138, 0.03782718169492884, 0.0010835036149917572, 0.029986776580073288, 0.03289437036808763, 0.012451571437266898, 0.05563156249801304, 0.004719382646102468, 0.030877228162693095, 0.19404957739906226, 0.14118005714106693]",5,75319.66904802296,"[63.11108605256054, 126.97407813737621, 390.14730870424074, 195.24565842969787, 441.3474109381255, 603.8246370982167, 85.31253855049604, 574.3344297947325, 336.7405808971357, 338.1964431160491, 157.96032851233988, 710.8437344194688, 238.794804776445, 958.1199623258456, 999.3174923789518, 422.6039590781153, 578.4978504216776, 241.6560583100607, 462.0914267285627, 726.7321797691889]",1,100,0.31987414989589397,penalty_cost,10634.006341992043,0.05,"[5.375, 7.425, 2.0, 4.3, 1.475, 1.925, 8.5, 1.0, 2.0, 2.0, 4.575, 1.0, 2.575, 1.0, 0.0, 2.0, 1.0, 2.65, 2.0, 1.825]",10000,"[0.005069272357569172, 0.1155086708605005, 0.46741773007289455, 0.034376764146443486, 0.3842875285669363, 2.5735750981943655, 0.026091993637259007, 0.5465136011928916, 0.3498177541701707, 0.3010329195486669, 0.11537344556504166, 0.02604298472236621, 0.14571273164635207, 2.8930216041115866, 2.1661465201114076, 0.406247835345541, 0.06609033597246906, 0.14294316680748764, 2.278230210891889, 3.458157830966903]",33244.34420678564,1.4,"[18, 15, 8, 16, 8, 3, 17, 7, 6, 9, 14, 16, 10, 7, 2, 9, 11, 10, 2, 6]",20,67653.17941689491,75319.66904802296,0.8
90000,0.5,0.8888888888888888,9,Case: 0118,17865.96514640082,"[0.1233768982263539, 0.010503074667557684, 0.042861476002520174, 0.04888036345863343, 0.14572265971048348, 0.07617069921730772, 0.3945985198395927, 0.06698705342004048, 0.0435829932011159, 0.04731626225639467]",9,117387.81648562686,"[728.254805554457, 171.50617634416594, 97.19239882703872, 513.843726835215, 1000.0, 92.35036949652458, 639.2067649643143, 805.0460447427927, 828.0335992654196, 375.82125181447213]",1,100,0.21464781232963667,penalty_cost,9521.851339226041,0.05,"[3.0, 11.8, 12.125, 3.0, 2.0, 15.675, 4.3, 2.0, 2.0, 3.925]",10000,"[0.4391390009824686, 0.008528369692674292, 0.016459975494832805, 0.1193579843535387, 0.8199510339838263, 0.04039685283742203, 1.1850398049825237, 0.2905675808326429, 0.1965118697598053, 0.07565672515632145]",44360.346541073726,1.4,"[5, 10, 8, 7, 2, 8, 2, 3, 6, 7]",10,25403.754421949387,117387.81648562686,0.8
60000,0.5,0.6666666666666666,6,Case: 0119,8260.548269538465,"[0.149415973296026, 0.17577328289195648, 0.0011273601747495811, 0.012478005145356926, 0.1485737237626093, 0.0762683085190335, 0.1299589324997424, 0.1316208231818654, 0.12888232599876892, 0.04590126452989132]",5,73808.88963562765,"[922.7515013920756, 212.45808652038284, 337.9176159809053, 994.1032256048684, 353.04972574173695, 215.05565748885493, 300.81280318528303, 456.55949876082485, 471.2711474047031, 393.8576098853473]",100,100,0.18226910072151958,penalty_cost,5548.341366089195,0.05,"[1.0, 4.65, 2.075, 0.0, 2.0, 6.425, 3.05, 2.0, 2.0, 2.0]",10000,"[3.4032518463352317, 0.23323032866082338, 0.0025655872920077307, 0.3683635103210176, 0.4076042865259501, 0.06490210868165748, 0.2758620144677159, 0.5542712608939014, 0.690034434264864, 0.15603033612929937]",30440.38371904981,1.4,"[3, 7, 9, 3, 5, 8, 7, 5, 6, 5]",10,34858.669327020645,73808.88963562765,0.8
90000,0.5,0.8888888888888888,9,Case: 0120,18972.07739515684,"[0.012193855952912188, 0.23437396756095882, 0.033049468125422574, 0.01156644433978718, 0.06945512631201596, 0.08116175065036069, 0.1239521219510515, 0.09036201874254043, 0.0495001846872775, 0.029529228690548748, 0.03654435183772661, 0.03415740103960453, 0.010925742186963721, 0.01498208959353702, 0.01865369316435629, 0.014483984762229427, 0.01061701745972579, 0.07549639001835515, 0.013244213255024829, 0.03575094966960115]",8,119039.96339334827,"[783.1899224686539, 251.7184855389899, 346.2049379960183, 748.2532842902019, 229.02501846304887, 417.87300160886343, 396.13449424414694, 138.9294885942154, 1000.0, 318.61599213168046, 994.0967039016609, 647.514177375318, 470.9660660021853, 458.4220440967547, 370.4120650432926, 306.2626157896932, 282.28463751357503, 649.2514960413877, 500.467775866658, 803.156297873917]",100,100,0.33589530492548286,penalty_cost,10067.885998191423,0.05,"[1.0, 5.975, 2.975, 1.0, 4.0, 2.0, 2.0, 26.075, 0.0, 3.525, 0.0, 1.0, 2.0, 2.0, 2.0, 2.625, 4.65, 1.0, 1.6, 1.0]",10000,"[0.2432066566287901, 0.21090144386749785, 0.08297472108880925, 0.17112886879732656, 0.08210966205369266, 0.3000193823476262, 0.38276233172923535, 0.05669705931504328, 9.271015012553065, 0.04868516995841846, 3.356548346392551, 0.3144404663855545, 0.045008652546838265, 0.0526571240172852, 0.05410974443859957, 0.03253878010283101, 0.01212859038949202, 0.5927151907118972, 0.05810447880797589, 0.6013625109309874]",29973.285873778277,1.4,"[6, 7, 12, 9, 10, 6, 4, 19, 3, 15, 2, 5, 18, 12, 10, 13, 19, 2, 10, 6]",20,23033.855870962143,119039.96339334827,0.8
400000,0.5,1.0,4,Case: 0022,67781.70459646118,"[0.20098987924896647, 0.06522156778502702, 0.024439695916407985, 0.011585874349435046, 0.07193722439466484, 0.03553639353810447, 0.0010729390774776569, 0.03927583189368288, 0.04141552199488014, 0.0005455344691903801, 0.01832917069524063, 0.01528089805285754, 0.04899328875297068, 0.008197263802794093, 0.0322797722545274, 0.21000930478167676, 0.00032688644228809165, 0.00951127911857245, 0.11558455555035185, 0.04946711788088328]",4,490068.8594560579,"[58.118114721147535, 297.2827716873855, 396.9589597769828, 243.9478453846884, 265.4492021914395, 679.7128550628206, 438.78756833296654, 745.6299780151064, 315.13415136923436, 836.7942107868823, 575.1019205962223, 933.5650696682153, 615.4014727583225, 602.2653226119431, 671.6148960049892, 253.34932073579216, 168.91321568753372, 985.6688726941106, 328.40241820686174, 486.4522193973242]",1,100,0.7362554292907553,penalty_cost,22287.154859596736,0.05,"[270.4, 4.9, 1.825, 121.575, 14.85, 1.0, 11.625, 1.0, 3.475, 1.05, 1.0, 1.0, 1.0, 1.0, 1.0, 3.0, 4.875, 0.825, 3.1, 2.0]",100000,"[0.22583944799959493, 0.2943428808506016, 0.14787429356054224, 0.045322365856200156, 0.24066527890086528, 0.46481172516590413, 0.006804296760538573, 0.5843727796564988, 0.17089710837276598, 0.011976750124481007, 0.17473531297395478, 0.35160552328517336, 0.5561687084492176, 0.09578658896843173, 0.3948046932676345, 0.7028437141786761, 0.0007485877350063664, 0.29227112800022365, 0.4530609432485239, 0.32443343851453516]",30270.954851995117,1.8,"[19, 15, 10, 20, 17, 7, 20, 4, 15, 19, 7, 13, 3, 7, 7, 6, 20, 10, 10, 12]",20,103494.6290500164,490068.8594560579,0.8
800000,0.5,0.9999999999999999,8,Case: 0023,69343.98258675433,"[0.16824052302283832, 0.01713945737055406, 0.039332592411880564, 0.07267296225824957, 0.39695882785768993, 0.03319239126574961, 0.12347068401258703, 0.01120363898502441, 0.05747369786608465, 0.08031522494934205]",8,879598.0710372902,"[154.4114428939626, 416.03536356033624, 240.3799922711092, 313.495337597714, 136.08022326761892, 687.632662330014, 215.73347511098063, 958.9633622795757, 522.0438349207601, 179.11097778761803]",1,100,0.5087296572710873,penalty_cost,10254.088450535884,0.05,"[261.525, 2.0, 3.0, 2.0, 16.225, 1.0, 4.0, 0.0, 1.0, 125.625]",100000,"[0.1050838184788151, 0.04321328204158615, 0.05350108762981322, 0.1366538682461818, 0.16316234363196402, 0.2396418894230887, 0.13066699772430607, 6.672416221203157, 0.21149633564247877, 0.08493420896806653]",20156.262376250215,1.8,"[10, 6, 5, 3, 8, 5, 7, 5, 3, 10]",10,18969.143398046494,879598.0710372902,0.8
500000,0.5,0.8,5,Case: 0029,16430.297429575166,"[0.013429431839810126, 0.22669811246345392, 0.03623199975715838, 0.1260566479289808, 0.08859875136533081, 0.004380628077720801, 0.1750025530293857, 0.16661900694184614, 0.0025706795038294133, 0.16041218909248378]",5,526880.9925261533,"[345.7094833416812, 552.9328739297977, 198.87302394059896, 397.0897349369707, 975.009560784716, 615.2161197683994, 422.82500824036043, 252.49094607503832, 299.1042333093743, 434.0282925530267]",100,100,0.25091035305672366,penalty_cost,10450.695096578174,0.05,"[2.9, 2.85, 16.925, 6.375, 1.0, 1.0, 3.0, 9.8, 3.25, 3.8]",100000,"[0.04416745375958277, 1.6944103603337282, 0.029469824917840184, 0.377541780807207, 10.087253614780334, 0.03490708395067173, 0.7071847772804715, 0.22328675481360785, 0.004310310717788474, 0.5844902435323533]",41651.111519561615,1.8,"[9, 2, 10, 8, 1, 8, 2, 8, 10, 6]",10,19046.970288991928,526880.9925261533,0.8
800000,0.5,0.9999999999999999,8,Case: 0032,58706.1372481335,"[0.14334617365713131, 0.1087591068796308, 0.07861822262943229, 0.06517083261027623, 0.05813460239023682, 0.10547911729477445, 0.01745223954956586, 0.027215177817078662, 0.05312877560843505, 0.006015926380889954, 0.001580795220005256, 0.008568199850681323, 0.009235015691582898, 0.050917739085476796, 0.02790578721217324, 0.03589337357655934, 0.04561795253492848, 0.09007838829162641, 0.01103796404204326, 0.05584460967747153]",8,874788.3562749745,"[820.6858122826345, 995.4696718979608, 364.3110048393151, 243.6650804131123, 591.4420963225225, 521.1232570327604, 715.6967049145095, 373.59737344882194, 724.0507558940544, 678.2240231402922, 800.4169957757563, 391.89732633582673, 303.4077720443091, 584.4094992678203, 374.93374027970845, 998.7349326456922, 344.9518405873439, 313.9430939916981, 476.76656389383777, 167.8472362928854]",100,100,0.31507945702178153,penalty_cost,16082.219026841067,0.05,"[2.0, 1.975, 5.95, 16.325, 2.975, 6.075, 1.0, 3.0, 1.0, 1.9, 1.0, 2.05, 3.525, 2.825, 4.0, 1.0, 3.0, 4.0, 2.0, 179.4]",100000,"[3.014162880283163, 28.941189075803912, 0.14352842402821228, 0.059142990878765206, 0.3744948560740752, 0.4287118375475976, 0.16838809041716382, 0.059739248451646326, 0.6603458624720354, 0.04610556429057008, 0.028060335813981204, 0.02086466209308427, 0.013479673183031357, 0.24418843674342794, 0.06771842392078066, 2.4903076424616373, 0.07199765493412728, 0.1683753248717308, 0.04361990472190965, 0.029103331090202935]",51041.788566143485,1.8,"[1, 4, 12, 16, 11, 12, 2, 8, 6, 14, 16, 8, 13, 11, 13, 7, 2, 7, 12, 20]",20,33575.78281497955,874788.3562749745,0.8
